,Enter_CMC,Max_CMC,Min_CMC,Largest_Bonus,ICO_Price,Number_of_ICO_Tokens,Total_Supply_Ratio,ICO_Market_Cap,Now_CMC,data_added
0x,0.111725,2.53,0.10396199999999998,,0.048,500000000.0,0.5,24000000.0,,
5 Miles,0.368,0.601,0.124,,0.0524,1000000000.0,0.1,107890571.0,,
Aave,,,,,,,,,336.65083914966107,2020-10-02T00:00:00.000Z
Aion,0.6160260000000001,11.51,0.47895200000000004,,1.0,185000000.0,0.4,23010994.0,,
Air Swap,0.351933,2.08,0.178633,,0.3,150000000.0,0.3,72139952.0,,
AirToken,0.016108,0.091153,0.00454,,0.02,1050000000.0,0.7,15000000.0,,
Algorand,,,,,,,,,1.87955704529534,2019-06-20T00:00:00.000Z
Ambrosus,0.19721,1.85,0.129922,,0.3,116780180.0,0.4,88196362.0,,
Amp,,,,,,,,,0.04587150413368,2020-09-08T00:00:00.000Z
Arweave,,,,,,,,,48.37981717684566,2020-05-27T00:00:00.000Z
Atlant,0.415951,2.7,0.114275,,0.61,108750000.0,0.73,162637025.0,,
Avalanche,,,,,,,,,64.53122514651739,2020-07-13T00:00:00.000Z
Aventus,4.52,11.09,1.21,,3.4,6000000.0,0.6,45314040.0,,
Axie Infinity,,,,,,,,,139.45877724278907,2020-08-31T00:00:00.000Z
Bancor,,,,,,,,,4.272922352021,2017-06-18T00:00:00.000Z
Basic Attention Token,,,,,,,,,0.77590532658398,2017-06-01T00:00:00.000Z
Binance Coin,,,,,,,,,497.9903407743712,2017-07-25T00:00:00.000Z
Binance USD,,,,,,,,,1.00004978237755,2019-09-20T00:00:00.000Z
BitClave,0.110866,0.039719,0.324363,1.0,0.1,1000000000.0,0.5,25547000.0,,
BitDegree,0.345,0.575,0.077,,0.0719,336600000.0,0.51,22657020.0,,
BitTorrent,,,,,,,,,0.00359711844308,2019-01-31T00:00:00.000Z
Bitcoin,,,,,,,,,61004.39058703724,2013-04-28T00:00:00.000Z
Bitcoin BEP2,,,,,,,,,61160.334361677116,2019-06-18T00:00:00.000Z
Bitcoin Cash,,,,,,,,,583.2598564071576,2017-07-23T00:00:00.000Z
Bitcoin Gold,,,,,,,,,64.75705022,2017-10-23T00:00:00.000Z
Bitcoin SV,,,,,,,,,163.2855036466256,2018-11-09T00:00:00.000Z
Black Moon,0.8630899999999999,2.67,0.349456,,1.0,27272727.0,0.5,30000000.0,,
BlockV,0.018606,0.342364,0.012475,,0.0207,2000000000.0,0.35,40000000.0,,
Bloom,2.15,2.19,0.5720000000000001,,1.16,75000000.0,0.5,50000000.0,,
Bluzelle,0.421592,0.421592,0.9139219999999999,0.3,0.12,165000000.0,0.33,19500000.0,,
Bounty0x,0.0582,0.9279999999999999,0.0582,0.2,0.0165,91000000.0,0.18,1750000.0,,
Bread,1.55,3.3360000000000003,0.597,0.2,0.78,105500000.0,0.66,32000000.0,,
Cardano,,,,,,,,,1.99927606115563,2017-10-01T00:00:00.000Z
Celo,,,,,,,,,6.77283333333566,2020-05-22T00:00:00.000Z
Celsius,,,,,,,,,4.79840274799872,2018-05-18T00:00:00.000Z
Chain Link,0.156494,1.44,0.126297,,0.11,350000000.0,0.35,32000000.0,,
Chainlink,,,,,,,,,31.29458322788938,2017-09-20T00:00:00.000Z
Chiliz,,,,,,,,,0.33924664446261,2019-07-01T00:00:00.000Z
Cobinhood,0.0404,2.84,0.036108999999999995,,0.0516,500000000.0,0.5,32368574.0,,
CoinDash,0.054621,0.28677199999999997,0.018846,,0.03,487500000.0,0.49,12000000.0,,
Compound,,,,,,,,,315.8009346096502,2020-06-16T00:00:00.000Z
Comsa,3.65,4.51,0.900293,,1.0,50730623.0,0.55,92237497.0,,
Cosmos,,,,,,,,,38.47831558156444,2019-03-14T00:00:00.000Z
Crypterium,2.04,3.0,0.62111,0.25,1.98,210000000.0,0.7,47000000.0,,
Crypto.com Coin,,,,,,,,,0.20963056206537,2018-12-14T00:00:00.000Z
Curve DAO Token,,,,,,,,,4.80626489320115,2020-08-14T00:00:00.000Z
Dai,,,,,,,,,1.00008091161244,2019-11-22T00:00:00.000Z
Dash,,,,,,,,,184.61244340394637,2014-02-14T00:00:00.000Z
Decentraland,,,,,,,,,1.14451693815856,2017-09-17T00:00:00.000Z
Decred,,,,,,,,,113.0077644799704,2016-02-10T00:00:00.000Z
Deep Brain,0.075,0.639,0.055,,0.0158,1500000000.0,0.15,67420977.0,,
District0x,0.018737,0.482887,0.013456000000000001,,0.016,600000000.0,0.6,9500000.0,,
Dogecoin,,,,,,,,,0.29527028639536,2013-12-15T00:00:00.000Z
Dovu,0.180454,1.16,0.060570000000000006,,0.11,300000000.0,0.25,17993450.0,,
Dragonchain,0.260317,5.27,0.22557,0.3,0.0663,238421940.0,0.55,15000000.0,,
EOS,,,,,,,,,4.42994897300385,2017-07-01T00:00:00.000Z
ETHLend,0.015213999999999998,0.442615,0.014672,,0.0173,1000000000.0,0.77,30209360.0,,
Elastos,44.01,75.82,35.68,,18.09,23100000.0,0.7,247225918.0,,
Elrond,,,,,,,,,261.3312503058883,2020-09-04T00:00:00.000Z
Enigma,0.6133,8.3,0.3158,,0.6,75000000.0,0.5,45000000.0,,
Enjin Coin,,,,,,,,,2.44454757280319,2017-11-01T00:00:00.000Z
Ether Party,0.029556,0.45539300000000005,0.020867,,0.1,800000000.0,0.8,62415559.0,,
Ethereum,,,,,,,,,4351.447730827977,2015-08-07T00:00:00.000Z
Ethereum Classic,,,,,,,,,52.59567111479437,2016-07-24T00:00:00.000Z
FTX Token,,,,,,,,,60.76114059632904,2019-07-31T00:00:00.000Z
Fantom,,,,,,,,,3.07180940690861,2018-10-29T00:00:00.000Z
Filecoin,,,,,,,,,60.12775772441177,2017-12-13T00:00:00.000Z
Flixxo,0.099841,0.984984,0.021912,0.35,0.0934,200000000.0,0.22,8693989.0,,
Flow,,,,,,,,,13.59874797376267,2021-01-27T00:00:00.000Z
Fortuna,0.214,0.214,0.057999999999999996,,0.08,400000000.0,0.4,32000000.0,,
Genaro,0.447,1.27,0.284,,0.15,315000000.0,0.45,20392828.0,,
Gifto,0.285,0.992,0.16399999999999998,,0.1,300000000.0,0.3,52690744.0,,
